Time,Humidity,Temperature,Voltage,,,Time,Temperature
46:37.6,42.29999924,25.29999924,12.784,,,46:37.6,25.29999924
56:45.8,24.10000038,24.60000038,12.768,,,56:45.8,24.60000038
06:48.9,27.10000038,21,12.74,,,06:48.9,21
16:49.5,27,20.70000076,12.708,,,16:49.5,20.70000076
26:52.6,23,15.69999981,12.68,,,26:52.6,15.69999981
36:53.2,22.70000076,15.19999981,12.648,,,36:53.2,15.19999981
46:53.8,21.89999962,10,12.616,,,46:53.8,10
56:54.4,20.70000076,5.300000191,12.588,,,56:54.4,5.300000191
06:55.0,21.39999962,1.600000024,12.552,,,06:55.0,1.600000024
16:55.6,22.89999962,-1.200000048,12.528,,,16:55.6,-1.200000048
26:56.2,22.5,-3.200000048,12.496,,,26:56.2,-3.200000048
36:56.9,22.39999962,-5.099999905,12.468,,,36:56.9,-5.099999905
46:57.5,22.60000038,-6.699999809,12.44,,,46:57.5,-6.699999809
56:58.1,25.20000076,-7.599999905,12.42,,,56:58.1,-7.599999905
06:58.7,27.89999962,-6.400000095,12.4,,,06:58.7,-6.400000095
16:59.4,30,-5.099999905,12.384,,,16:59.4,-5.099999905
27:00.0,32.59999847,-3.900000095,12.368,,,27:00.0,-3.900000095
37:00.6,34.70000076,-2.900000095,12.356,,,37:00.6,-2.900000095
47:01.2,36.79999924,-2,12.34,,,47:01.2,-2
57:01.8,40.5,-1.200000048,12.328,,,57:01.8,-1.200000048
07:02.5,52.09999847,0.5,12.324,,,07:02.5,0.5
17:03.1,54.5,3.200000048,12.32,,,17:03.1,3.200000048
27:03.7,37.70000076,0.899999976,12.308,,,27:03.7,0.899999976
37:04.3,31.10000038,-2.900000095,12.292,,,37:04.3,-2.900000095
47:05.0,29.29999924,-6.300000191,12.272,,,47:05.0,-6.300000191
57:05.5,29.10000038,-8.899999619,12.256,,,57:05.5,-8.899999619
07:06.2,32.40000153,-10.39999962,12.24,,,07:06.2,-10.39999962
17:06.7,40.09999847,-9.600000381,12.228,,,17:06.7,-9.600000381
27:07.3,32.59999847,-10.30000019,12.212,,,27:07.3,-10.30000019
37:07.9,34.20000076,-11.39999962,12.2,,,37:07.9,-11.39999962
47:08.4,37.40000153,-10.69999981,12.188,,,47:08.4,-10.69999981
57:11.6,42.20000076,-8.399999619,12.184,,,57:11.6,-8.399999619
07:12.2,42.20000076,-8.5,12.176,,,07:12.2,-8.5
17:12.8,44.40000153,-7.300000191,12.168,,,17:12.8,-7.300000191
27:15.8,46.5,-5.400000095,12.16,,,27:15.8,-5.400000095
37:18.9,44.59999847,-4.599999905,12.156,,,37:18.9,-4.599999905
47:19.6,44.5,-4.699999809,12.152,,,47:19.6,-4.699999809
57:20.2,34.09999847,-6.199999809,12.14,,,57:20.2,-6.199999809
07:20.8,32,-8.800000191,12.132,,,07:20.8,-8.800000191
17:21.5,35.59999847,-10.60000038,12.12,,,17:21.5,-10.60000038
27:24.5,42.29999924,-9.300000191,12.112,,,27:24.5,-9.300000191
37:27.6,44.20000076,-8.300000191,12.108,,,37:27.6,-8.300000191
47:28.2,44.09999847,-8.399999619,12.104,,,47:28.2,-8.399999619
57:28.8,44.90000153,-7.300000191,12.1,,,57:28.8,-7.300000191
07:29.4,45.20000076,-6.400000095,12.1,,,07:29.4,-6.400000095
17:30.0,45.20000076,-5.5,12.1,,,17:30.0,-5.5
27:30.6,43.59999847,-4.800000191,12.092,,,27:30.6,-4.800000191
37:31.3,32.70000076,-6.5,12.088,,,37:31.3,-6.5
47:34.4,34.5,-11.30000019,12.076,,,47:34.4,-11.30000019
57:35.1,34.5,-11.39999962,12.072,,,57:35.1,-11.39999962
07:38.2,41.59999847,-10,12.068,,,07:38.2,-10
17:38.8,41.5,-10.10000038,12.056,,,17:38.8,-10.10000038
27:39.4,43,-9.100000381,12.056,,,27:39.4,-9.100000381
37:42.6,43.5,-7.199999809,12.052,,,37:42.6,-7.199999809
47:45.7,44,-6.300000191,12.048,,,47:45.7,-6.300000191
57:46.4,44,-6.300000191,12.052,,,57:46.4,-6.300000191
07:47.0,44.79999924,-5.599999905,12.048,,,07:47.0,-5.599999905
17:47.6,40.29999924,-5,12.048,,,17:47.6,-5
27:48.2,33.40000153,-7.099999905,12.044,,,27:48.2,-7.099999905
37:48.9,32.09999847,-9.600000381,12.032,,,37:48.9,-9.600000381
47:49.4,37.70000076,-10.80000019,12.032,,,47:49.4,-10.80000019
57:50.1,40.90000153,-10.19999981,12.02,,,57:50.1,-10.19999981
07:53.2,43.20000076,-8.399999619,12.02,,,07:53.2,-8.399999619
17:53.8,43.20000076,-8.399999619,12.012,,,17:53.8,-8.399999619
27:54.5,43.40000153,-7.5,12.012,,,27:54.5,-7.5
37:55.1,43.90000153,-6.599999905,12.008,,,37:55.1,-6.599999905
47:58.3,46.09999847,-5,12.008,,,47:58.3,-5
57:58.9,46.20000076,-5,12.008,,,57:58.9,-5
07:59.5,34.09999847,-6,12.004,,,07:59.5,-6
18:00.1,30.70000076,-8.899999619,12,,,18:00.1,-8.899999619
28:00.7,34.40000153,-11.19999981,11.996,,,28:00.7,-11.19999981
38:01.3,39.09999847,-10.89999962,11.984,,,38:01.3,-10.89999962
48:01.9,41.29999924,-10.10000038,11.984,,,48:01.9,-10.10000038
58:02.5,42.70000076,-9.100000381,11.976,,,58:02.5,-9.100000381
08:03.1,43,-8.199999809,11.976,,,08:03.1,-8.199999809
18:03.7,43.20000076,-7.300000191,11.976,,,18:03.7,-7.300000191
28:04.3,44.29999924,-6.400000095,11.976,,,28:04.3,-6.400000095
38:04.9,46,-5.599999905,11.976,,,38:04.9,-5.599999905
48:05.5,45.59999847,-4.800000191,11.972,,,48:05.5,-4.800000191
58:06.1,33.20000076,-6.400000095,11.964,,,58:06.1,-6.400000095
08:06.7,30.60000038,-9.399999619,11.96,,,08:06.7,-9.399999619
18:07.2,35.5,-11.30000019,11.948,,,18:07.2,-11.30000019
28:07.8,39.59999847,-10.89999962,11.944,,,28:07.8,-10.89999962
38:08.4,41.59999847,-10.10000038,11.944,,,38:08.4,-10.10000038
48:09.0,42.79999924,-9.100000381,11.936,,,48:09.0,-9.100000381
58:12.2,43.5,-7.300000191,11.932,,,58:12.2,-7.300000191
08:15.3,45,-6.400000095,11.932,,,08:15.3,-6.400000095
18:16.0,45.09999847,-6.400000095,11.932,,,18:16.0,-6.400000095
28:16.6,47,-5.5,11.932,,,28:16.6,-5.5
38:17.2,48.70000076,-4.699999809,11.932,,,38:17.2,-4.699999809
48:17.9,35.79999924,-5.699999809,11.932,,,48:17.9,-5.699999809
58:18.4,32.20000076,-8.399999619,11.924,,,58:18.4,-8.399999619
08:19.0,34.40000153,-10.69999981,11.912,,,08:19.0,-10.69999981
18:22.2,41.90000153,-9.899999619,11.908,,,18:22.2,-9.899999619
28:22.8,41.90000153,-10,11.904,,,28:22.8,-10
38:23.4,43.40000153,-9,11.9,,,38:23.4,-9
48:24.1,43.79999924,-8.100000381,11.896,,,48:24.1,-8.100000381
58:24.7,44,-7.199999809,11.896,,,58:24.7,-7.199999809
08:25.2,43.09999847,-6.400000095,11.896,,,08:25.2,-6.400000095
18:25.8,36.20000076,-7.800000191,11.884,,,18:25.8,-7.800000191
28:26.4,37.29999924,-9.600000381,11.884,,,28:26.4,-9.600000381
38:27.1,35,-11.30000019,11.876,,,38:27.1,-11.30000019
48:27.7,38,-12.5,11.868,,,48:27.7,-12.5
58:28.3,40.70000076,-12,11.864,,,58:28.3,-12
08:28.9,99.90000153,3,11.896,,,08:28.9,3
18:29.5,99.90000153,10.39999962,11.928,,,18:29.5,10.39999962
28:30.1,80.59999847,13,11.948,,,28:30.1,13
