Time,Humidity,Temperature,Voltage
2019-10-08 14:44:48.999118,50.0,23.600000381469727,12.632
2019-10-08 14:54:49.627391,50.0,23.700000762939453,12.628
2019-10-08 15:04:50.255533,48.099998474121094,25.299999237060547,12.62
2019-10-08 15:14:50.883443,45.70000076293945,26.399999618530273,12.612
2019-10-08 15:24:51.511260,43.79999923706055,27.200000762939453,12.6
2019-10-08 15:34:52.139321,42.29999923706055,27.799999237060547,12.588
2019-10-08 15:44:52.767344,41.20000076293945,28.299999237060547,12.576
2019-10-08 15:54:53.395363,40.400001525878906,28.700000762939453,12.564
2019-10-08 16:04:54.023221,23.100000381469727,28.799999237060547,12.56
2019-10-08 16:14:54.651173,24.5,28.299999237060547,12.548
2019-10-08 16:24:55.278917,26.200000762939453,27.299999237060547,12.532
2019-10-08 16:34:55.906722,16.600000381469727,26.0,12.52
2019-10-08 16:44:56.534648,13.199999809265137,23.899999618530273,12.504
2019-10-08 16:54:57.162834,10.300000190734863,21.5,12.488
2019-10-08 17:04:57.790624,10.0,18.899999618530273,12.472
2019-10-08 17:14:58.418204,10.0,16.399999618530273,12.456
2019-10-08 17:24:59.045967,9.199999809265137,14.0,12.44
2019-10-08 17:34:59.674044,8.600000381469727,11.899999618530273,12.42
2019-10-08 17:45:00.302139,9.0,9.899999618530273,12.404
2019-10-08 17:55:03.457967,14.5,7.0,12.388
2019-10-08 18:05:04.085695,14.5,6.900000095367432,12.372
2019-10-08 18:15:04.713725,18.0,6.199999809265137,12.356
2019-10-08 18:25:05.317084,20.899999618530273,5.900000095367432,12.344
2019-10-08 18:35:05.944897,23.399999618530273,5.800000190734863,12.332
2019-10-08 18:45:06.573107,25.399999618530273,5.900000095367432,12.316
2019-10-08 18:55:07.201055,28.899999618530273,6.099999904632568,12.308
2019-10-08 19:05:07.798433,38.400001525878906,6.400000095367432,12.296
2019-10-08 19:15:08.426372,47.900001525878906,7.0,12.288
2019-10-08 19:25:09.054135,28.799999237060547,7.300000190734863,12.276
2019-10-08 19:35:09.682115,18.399999618530273,6.800000190734863,12.272
2019-10-08 19:45:10.310049,15.199999809265137,5.900000095367432,12.26
2019-10-08 19:55:13.465652,13.600000381469727,3.4000000953674316,12.244
2019-10-08 20:05:14.093378,13.699999809265137,3.299999952316284,12.232
2019-10-08 20:15:14.721046,23.299999237060547,2.299999952316284,12.224
2019-10-08 20:25:15.348981,15.5,1.5,12.208
2019-10-08 20:35:15.976730,15.300000190734863,0.699999988079071,12.196
2019-10-08 20:45:16.604279,19.200000762939453,0.10000000149011612,12.188
2019-10-08 20:55:17.237043,22.5,-0.20000000298023224,12.176
2019-10-08 21:05:17.853880,25.200000762939453,-0.30000001192092896,12.164
2019-10-08 21:15:18.481703,27.299999237060547,-0.20000000298023224,12.16
2019-10-08 21:25:19.103384,29.399999618530273,0.0,12.148
2019-10-08 21:35:19.731228,31.299999237060547,0.4000000059604645,12.14
2019-10-08 21:45:20.353621,33.29999923706055,0.699999988079071,12.132
2019-10-08 21:55:20.981647,23.200000762939453,0.699999988079071,12.124
2019-10-08 22:05:21.603623,18.399999618530273,0.30000001192092896,12.116
2019-10-08 22:15:22.231419,17.700000762939453,-0.4000000059604645,12.108
2019-10-08 22:25:22.853701,21.399999618530273,-0.8999999761581421,12.1
2019-10-08 22:35:23.481658,24.200000762939453,-1.2000000476837158,12.092
2019-10-08 22:45:24.103614,26.700000762939453,-1.2999999523162842,12.084
2019-10-08 22:55:24.731507,29.0,-1.2000000476837158,12.076
2019-10-08 23:05:25.353567,31.0,-1.0,12.072
2019-10-08 23:15:25.981407,33.20000076293945,-0.699999988079071,12.064
2019-10-08 23:25:26.523637,34.79999923706055,-0.4000000059604645,12.056
2019-10-08 23:35:27.103525,23.600000381469727,-0.4000000059604645,12.052
2019-10-08 23:45:27.731359,18.600000381469727,-0.8999999761581421,12.048
2019-10-08 23:55:28.353405,17.799999237060547,-1.600000023841858,12.04
2019-10-09 00:05:28.923663,21.600000381469727,-2.200000047683716,12.028
2019-10-09 00:15:29.551567,24.299999237060547,-2.5,12.024
2019-10-09 00:25:30.103644,26.799999237060547,-2.700000047683716,12.016
2019-10-09 00:35:30.731710,29.200000762939453,-2.5999999046325684,12.008
2019-10-09 00:45:31.323726,31.399999618530273,-2.4000000953674316,12.004
2019-10-09 00:55:31.853710,33.400001525878906,-2.0999999046325684,11.996
2019-10-09 01:05:32.481570,35.20000076293945,-1.7999999523162842,11.996
2019-10-09 01:15:33.103773,34.79999923706055,-1.399999976158142,11.984
2019-10-09 01:25:33.723636,24.600000381469727,-1.399999976158142,11.984
2019-10-09 01:35:34.351644,20.299999237060547,-1.899999976158142,11.976
2019-10-09 01:45:34.979582,21.100000381469727,-2.5,11.968
2019-10-09 01:55:35.603786,24.700000762939453,-2.9000000953674316,11.968
2019-10-09 02:05:36.231527,27.200000762939453,-3.200000047683716,11.96
2019-10-09 02:15:36.853600,29.5,-3.200000047683716,11.956
2019-10-09 02:25:37.469132,32.0,-3.0999999046325684,11.948
2019-10-09 02:35:38.097314,34.29999923706055,-2.700000047683716,11.944
2019-10-09 02:45:38.724994,36.0,-2.4000000953674316,11.94
2019-10-09 02:55:39.352963,37.400001525878906,-2.0,11.936
2019-10-09 03:05:39.980764,27.600000381469727,-1.899999976158142,11.928
2019-10-09 03:15:40.603577,21.0,-2.200000047683716,11.928
2019-10-09 03:25:41.231443,19.5,-2.9000000953674316,11.92
2019-10-09 03:35:41.853565,23.399999618530273,-3.4000000953674316,11.912
2019-10-09 03:45:42.481420,26.0,-3.799999952316284,11.912
2019-10-09 03:55:43.103606,28.399999618530273,-3.9000000953674316,11.904
2019-10-09 04:05:43.731621,30.600000381469727,-3.799999952316284,11.9
2019-10-09 04:15:44.353792,33.29999923706055,-3.5,11.892
2019-10-09 04:25:44.981766,35.099998474121094,-3.200000047683716,11.892
2019-10-09 04:35:45.603746,37.5,-2.799999952316284,11.888
2019-10-09 04:45:46.231723,39.400001525878906,-2.4000000953674316,11.884
2019-10-09 04:55:49.375120,20.899999618530273,-2.700000047683716,11.876
2019-10-09 05:05:50.004263,20.899999618530273,-2.700000047683716,11.872
2019-10-09 05:15:50.633351,20.5,-3.299999952316284,11.864
2019-10-09 05:25:51.262516,24.200000762939453,-3.9000000953674316,11.86
2019-10-09 05:35:51.809421,27.0,-4.199999809265137,11.856
2019-10-09 05:45:54.966364,31.700000762939453,-4.199999809265137,11.848
2019-10-09 05:55:55.595582,31.700000762939453,-4.199999809265137,11.844
2019-10-09 06:05:56.224952,34.0,-3.9000000953674316,11.844
2019-10-09 06:15:56.854086,36.70000076293945,-3.5,11.836
2019-10-09 06:25:57.403461,38.900001525878906,-3.200000047683716,11.836
2019-10-09 06:35:58.032579,39.79999923706055,-2.700000047683716,11.832
2019-10-09 06:45:58.661501,30.0,-2.5,11.824
2019-10-09 06:55:59.290396,23.299999237060547,-2.799999952316284,11.82
2019-10-09 07:05:59.919443,20.200000762939453,-3.4000000953674316,11.816
2019-10-09 07:16:00.548688,24.399999618530273,-3.9000000953674316,11.812
2019-10-09 07:26:01.177945,27.100000381469727,-4.199999809265137,11.804
2019-10-09 07:36:04.327058,32.400001525878906,-4.199999809265137,11.804
2019-10-09 07:46:04.956311,32.400001525878906,-4.199999809265137,11.8
2019-10-09 07:56:05.585398,34.70000076293945,-4.0,11.792
2019-10-09 08:06:06.214727,36.70000076293945,-3.700000047683716,11.788
2019-10-09 08:16:06.843898,27.299999237060547,-3.5999999046325684,11.78
2019-10-09 08:26:07.473187,26.799999237060547,-3.9000000953674316,11.78
2019-10-09 08:36:08.102425,22.200000762939453,-4.400000095367432,11.772
2019-10-09 08:46:08.731354,21.399999618530273,-5.0,11.764
2019-10-09 08:56:09.360209,26.5,-5.400000095367432,11.76
2019-10-09 09:06:09.925171,58.0,-4.900000095367432,11.76
2019-10-09 09:16:10.554556,73.5,-1.399999976158142,11.76
2019-10-09 09:26:11.183820,69.9000015258789,2.0999999046325684,11.756
